input,correct,expected,predicted,codebleu_score,bleu4_score
"def read(self, count=True, timeout=None, ignore_non_errors=True, ignore_timeouts=True): try: return self._read(count, timeout) except usb.USBError as e: <mask> DEBUG_COMM: log.info( ""read: e.errno=%s e.strerror=%s e.message=%s repr=%s"" % (e.errno, e.strerror, e.message, repr(e)) ) if ignore_timeouts and is_timeout(e): return [] if ignore_non_errors and is_noerr(e): return [] raise",False,if ignore_timeouts and is_timeout ( e ) :,if DEBUG_COMM :,0,3.47
"def _cache_mem(curr_out, prev_mem, mem_len, reuse_len=None): """"""cache hidden states into memory."""""" <mask> mem_len is None or mem_len == 0: return None else: if reuse_len is not None and reuse_len > 0: curr_out = curr_out[:reuse_len] if prev_mem is None: new_mem = curr_out[-mem_len:] else: new_mem = tf.concat([prev_mem, curr_out], 0)[-mem_len:] new_mem.stop_gradient = True return new_mem",True,if prev_mem is None :,if prev_mem is None :,0,100.0
def filtered(gen): for example in gen: example_len = length_fn(example) # Checking max length boundary. <mask> max_length is not None: if example_len > max_length: continue # Checking min length boundary. if min_length is not None: if example_len < min_length: continue # Within bounds. yield example,False,if example_len > max_length :,if max_length is not None :,0,20.61
"def search(self, query): # ""Search.ashx?query="" + query + filterVal <mask> not query: logger.debug(""Empty search query"") return [] logger.debug('Searching TuneIn for ""%s""' % query) args = ""&query="" + query search_results = self._tunein(""Search.ashx"", args) results = [] for item in self._flatten(search_results): if item.get(""type"", """") == ""audio"": # Only return stations self._stations[item[""guide_id""]] = item results.append(item) return results",True,"if item . get ( ""type"" , """" ) == ""audio"" :","if item . get ( ""type"" , """" ) == ""audio"" :",0,100.0
"def _check_script(self, script, directive): for var in compile_script(script): <mask> var.must_contain(""/""): # Skip variable checks return False if var.can_contain("".""): # Yay! Our variable can contain any symbols! reason = ( 'At least variable ""${var}"" can contain untrusted user input'.format( var=var.name ) ) self.add_issue(directive=[directive] + var.providers, reason=reason) return True return False",False,"if var . must_contain ( ""/"" ) :","if var . can_contain ( ""."" ) :",0,39.18
"def getAllDataLinkIDs(): linkDataIDs = set() dataType = _forestData.dataTypeBySocket for socketID, linkedIDs in _forestData.linkedSockets.items(): for linkedID in linkedIDs: <mask> socketID[1]: # check which one is origin/target linkDataIDs.add( (socketID, linkedID, dataType[socketID], dataType[linkedID]) ) else: linkDataIDs.add( (linkedID, socketID, dataType[linkedID], dataType[socketID]) ) return linkDataIDs",True,if socketID [ 1 ] :,if socketID [ 1 ] :,0,100.0
"def _stderr_supports_color(): try: <mask> hasattr(sys.stderr, ""isatty"") and sys.stderr.isatty(): if curses: curses.setupterm() if curses.tigetnum(""colors"") > 0: return True elif colorama: if sys.stderr is getattr( colorama.initialise, ""wrapped_stderr"", object() ): return True except Exception: # Very broad exception handling because it's always better to # fall back to non-colored logs than to break at startup. pass return False",True,"if curses . tigetnum ( ""colors"" ) > 0 :","if curses . tigetnum ( ""colors"" ) > 0 :",0,100.0
"def offsets(self): offsets = {} offset_so_far = 0 for name, ty in self.fields.items(): <mask> isinstance(ty, SimTypeBottom): l.warning( ""Found a bottom field in struct %s. Ignore and increment the offset using the default "" ""element size."", self.name, ) continue if not self._pack: align = ty.alignment if offset_so_far % align != 0: offset_so_far += align - offset_so_far % align offsets[name] = offset_so_far offset_so_far += ty.size // self._arch.byte_width return offsets",False,if offset_so_far % align != 0 :,"if isinstance ( ty , SimTypeBottom ) :",0,3.98
"def Restore(self): picker, obj = self._window, self._pObject value = obj.RestoreValue(PERSIST_FILEDIRPICKER_PATH) <mask> value is not None: if issubclass(picker.__class__, wx.FileDialog): if type(value) == list: value = value[-1] picker.SetPath(value) return True return False",False,if type ( value ) == list :,"if issubclass ( picker . __class__ , wx . FileDialog ) :",0,3.46
"def dt_s_tup_to_string(dt_s_tup): dt_string = dt_s_tup[0] # string for identifying the file to parse. <mask> dt_s_tup[1] > 0: # if there are seasons in the model if ""co"" in dt_string or ""ci"" in dt_string or ""nc"" in dt_string: dt_string = dt_string[:2] + ""s"" + dt_string[2:] else: dt_string = ""s"" + dt_string return dt_string",True,"if ""co"" in dt_string or ""ci"" in dt_string or ""nc"" in dt_string :","if ""co"" in dt_string or ""ci"" in dt_string or ""nc"" in dt_string :",0,100.0
